A_NOX_ALL,A_VOC_ALL,A_NH3_ALL,A_PM25_ALL,A_O3_ALL,B_NOX_ALL,B_VOC_ALL,B_NH3_ALL,B_PM25_ALL,B_O3_ALL,C_NOX_ALL,C_VOC_ALL,C_NH3_ALL,C_PM25_ALL,C_O3_ALL,D_NOX_ALL,D_VOC_ALL,D_NH3_ALL,D_PM25_ALL,D_O3_ALL,E_NOX_ALL,E_VOC_ALL,E_NH3_ALL,E_PM25_ALL,E_O3_ALL,F_NOX_ALL,F_VOC_ALL,F_NH3_ALL,F_PM25_ALL,F_O3_ALL,G_NOX_ALL,G_VOC_ALL,G_NH3_ALL,G_PM25_ALL,G_O3_ALL,H_NOX_ALL,H_VOC_ALL,H_NH3_ALL,H_PM25_ALL,H_O3_ALL,I_NOX_ALL,I_VOC_ALL,I_NH3_ALL,I_PM25_ALL,I_O3_ALL,J_NOX_ALL,J_VOC_ALL,J_NH3_ALL,J_PM25_ALL,J_O3_ALL,K_NOX_ALL,K_VOC_ALL,K_NH3_ALL,K_PM25_ALL,K_O3_ALL,L_NOX_ALL,L_VOC_ALL,L_NH3_ALL,L_PM25_ALL,L_O3_ALL,M_NOX_ALL,M_VOC_ALL,M_NH3_ALL,M_PM25_ALL,M_O3_ALL,N_NOX_ALL,N_VOC_ALL,N_NH3_ALL,N_PM25_ALL,N_O3_ALL,O_NOX_ALL,O_VOC_ALL,O_NH3_ALL,O_PM25_ALL,O_O3_ALL,P_NOX_ALL,P_VOC_ALL,P_NH3_ALL,P_PM25_ALL,P_O3_ALL,Q_NOX_ALL,Q_VOC_ALL,Q_NH3_ALL,Q_PM25_ALL,Q_O3_ALL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.863535805,1.241055552,0.83370348,0.812253899,0.012559236,0.869754418,1.006563503,0.962917701,0.803118227,0.036504503,1.068550257,1.120953752,1.23893509,1.159455337,0.027750975,0.835199625,1.228430464,0.873012441,0.923170905,0.028224934,0.695553291,1.186508194,0.996501609,0.641818319,0.033109915,1.334524357,0.910602478,1.184359983,1.20284414,0.025329275,1.002000218,0.803191073,1.146772368,1.035432889,0.03679765,0.764775481,0.885962818,0.526543985,0.972313847,0.032581493,0.635479026,0.73080257,0.90055931,0.627470654,0.0347454,1.156333914,1.234487428,1.04998759,1.1229095,0.03519811,0.88187545,0.968710982,0.817614325,0.958487106,0.03489441,0.73954232,0.944993003,1.049730123,0.810721524,0.03836807,1.137425289,1.228396711,0.8400706,1.133975333,0.03977709,1.314464168,0.842700468,0.780937333,1.061357904,0.04216167,1.236319088,0.840536292,1.048697914,1.146346911,0.02925149,0.87020578,1.121574519,0.902625982,0.901954926,0.032091897,0.65738346,1.010165438,1.31528251,0.591438122,0.028825605
0.742005935,0.646945949,0.986339546,0.956668037,0.014477693,1.192631045,1.003773253,0.780494493,1.093660071,0.03624592,0.934011503,0.969481948,0.957689415,0.974890082,0.027267078,1.012360305,1.277558988,1.008264154,0.989432314,0.026701404,1.086871117,0.899152983,1.396219993,1.255734713,0.030305982,0.941018466,0.661978089,1.00386577,1.050488022,0.02685886,1.118786464,0.694296244,0.972868391,0.946539328,0.036835223,0.923891128,1.27979922,1.060337463,1.046072772,0.03248627,1.050851731,1.071004873,1.115864367,1.171301595,0.03331165,1.331561671,1.049558709,0.974431118,1.196315357,0.034458682,1.144306736,0.815849512,1.235233197,1.104815009,0.034198754,0.862231077,1.051922246,0.821474696,0.879201369,0.03750073,1.183849535,1.059202772,1.117615737,1.012176929,0.038952976,0.786083982,0.785215215,1.117292219,0.856940231,0.042771798,1.238821317,0.938990704,0.943296868,1.057522303,0.02840412,1.278779791,1.284150807,1.433524304,1.372564163,0.029280165,1.120913183,0.824733823,1.290492127,1.08313551,0.026994752
1.242453095,1.263960396,0.903859773,1.061870738,0.013236197,0.955692638,0.973506048,0.906025623,1.028231532,0.03654163,0.823670413,1.022233043,1.065741091,0.925972666,0.028621277,0.680270526,0.791884687,0.983349129,0.766222648,0.028417364,1.069616279,0.741900646,1.370173452,1.185767196,0.03059688,0.922186429,1.130895864,0.82878239,0.804311817,0.026584145,1.047782142,1.156916729,0.956777876,1.080103262,0.03671506,1.257153307,0.914818751,0.918796965,1.085336233,0.031225383,1.177884698,0.84780259,1.240347223,0.917832862,0.032783393,1.190786957,0.994135268,1.398683641,1.150007473,0.034744967,1.089381833,0.755261209,1.162130556,1.177062049,0.03475421,1.174900035,0.826106864,0.90584816,1.057151455,0.036688536,0.959948079,0.942969933,0.801629902,0.863973603,0.03916763,1.445309092,1.00798856,0.559174998,1.399764031,0.04184597,1.258952103,1.381328696,1.342452754,1.286840058,0.027565382,0.993027986,1.163494215,1.079286598,1.086030201,0.030707052,1.145995299,1.265948542,0.77775531,1.212819838,0.026067765
0.814412821,0.735800477,0.644385384,0.682861479,0.016483754,1.089341798,1.144005695,1.188024604,1.196274337,0.036902156,0.907912888,0.796244131,0.883309564,0.938990371,0.027524468,1.056815416,1.225650308,0.683433485,0.883690549,0.02677217,1.014809104,0.647299473,1.113795094,1.100577756,0.030893123,0.659572528,0.977711482,0.821161633,0.700742218,0.028686572,1.019021286,1.381886546,1.3258807,1.039858724,0.037206132,1.153345748,0.902152415,0.587981815,1.172196123,0.032220993,1.219771886,1.130540603,1.063928101,1.307515651,0.033799805,1.167229313,1.003284067,0.581641564,1.00222915,0.034743465,1.129857431,1.296876791,1.267681259,1.164097489,0.034060955,0.831819357,0.711278398,1.433584959,0.930754468,0.03761102,1.240626991,1.190229341,0.965237792,1.375896097,0.039133474,0.574630702,1.191931088,1.148330824,0.986676272,0.04317608,0.837272709,1.279428674,1.027987327,1.050256086,0.029576192,1.094223655,0.868594404,0.953091311,1.067505854,0.029506117,1.19671711,0.776720168,1.122029181,1.126078156,0.027315272
1.006110591,0.85056313,0.676458337,0.783887198,0.012727938,1.00456697,1.12220135,0.951893869,0.978059532,0.036169354,0.986490657,1.273809108,1.05919826,1.021241531,0.029225975,1.131832289,1.037194256,0.91341052,1.142260902,0.028308671,1.23694958,1.119970462,1.412180964,1.284114827,0.031114608,1.102931567,0.698627609,0.92922443,0.946603406,0.025665011,1.238521654,0.945547269,1.195485432,1.083983091,0.036208607,1.253846262,0.771606137,1.170060678,1.050077316,0.031574436,1.100119479,1.109046606,1.102866896,1.033986117,0.033738825,0.794937212,0.606652168,0.986113278,0.709694469,0.035628833,0.84206883,1.154850211,0.867263047,0.916655995,0.035829928,0.814080575,1.180748399,1.286490562,1.050519636,0.037964903,0.974930931,1.159977401,0.854129775,1.022301283,0.039785232,1.223779652,1.273211738,0.554029089,1.304321145,0.042325944,0.899030157,1.076268145,1.029533903,1.074511116,0.02964886,0.82189145,0.868297987,0.855798546,0.881672145,0.032621343,0.751785092,1.263983224,0.568521753,1.006255717,0.02799666
1.20982461,0.774887499,0.89191425,1.045073141,0.014267082,0.997777316,0.7879802,0.89638593,0.995076584,0.036996182,1.183762157,1.04942654,1.12139005,1.105443967,0.026506206,0.743628068,0.755155193,0.859793522,0.841787022,0.02829982,0.631877082,0.752046567,1.039454216,0.913993885,0.033114444,0.775403683,1.229989003,1.317690655,0.836272779,0.028289545,0.56546994,0.842846414,1.158099735,0.627568058,0.038334664,0.774474281,1.144011171,0.805555474,0.889543027,0.033306614,1.034344326,0.886239005,0.816392675,0.939122175,0.03466543,1.173687191,1.030130761,1.389147261,1.005427056,0.035349794,1.152740871,0.758473491,0.726096311,1.022723966,0.0345632,1.031206061,0.886560195,0.55004437,1.040433072,0.037598964,0.90977959,0.697297803,0.745991497,0.681014684,0.039669316,0.856831279,1.020220026,0.927186524,1.042531592,0.04278,0.788106877,0.783014064,0.92584668,0.871740202,0.030442823,1.036612412,0.759389281,0.67702731,0.868929494,0.030035328,0.900017526,1.328512373,0.647614057,1.038194416,0.028827796
0.853427337,0.609329157,0.884360161,0.874578677,0.01319497,1.006296576,0.70916134,0.950202367,1.091274716,0.03627393,1.347431237,0.701150466,1.223561638,1.304125078,0.024957819,0.858616118,0.864374455,0.71983409,0.82251476,0.028579744,0.578606184,0.548019299,1.119574255,0.92282311,0.033328902,1.173648822,0.923497543,1.276270076,1.199789835,0.025600754,0.944221693,0.909314692,1.142443774,0.980773953,0.036484484,0.749715658,0.988939304,0.850681446,0.772000934,0.03283906,0.970730094,1.071937509,1.017742985,1.09054283,0.033190064,0.942073032,1.284261767,1.331583052,0.964517753,0.035527457,1.217431963,0.908483819,1.009333676,0.927994122,0.034027264,0.945504322,0.670368531,0.579650555,0.876602458,0.037382226,0.987787189,0.941851606,1.193142241,0.963640117,0.039582342,1.229980835,1.046640304,0.816325871,1.280734579,0.04212472,0.699155484,0.917880066,0.671558648,0.754568399,0.030216018,1.271278806,1.187359263,1.443065066,1.396717425,0.029182693,0.843425445,1.053938483,1.39876496,1.021733784,0.027999653
0.929154851,1.08527994,0.944669895,0.943876829,0.017057525,0.778706281,0.850078691,0.845650473,0.95121147,0.037932064,0.786481156,1.156256054,1.037855106,0.907085248,0.028579488,0.709441796,1.172045767,0.746728746,0.781572744,0.029797077,0.807906909,0.84564559,0.964272922,0.702456349,0.03320531,0.64576199,1.032179084,1.066529304,0.668115347,0.029645648,1.166056552,0.868713633,0.59129005,1.245918337,0.037857335,0.764572222,1.089814984,0.844858865,0.772199549,0.03437161,0.832608223,0.739584898,1.144511813,0.799251146,0.034708396,0.863026945,0.917530584,0.698799704,0.636617284,0.036385193,1.103086033,0.733845071,1.359029776,1.204152986,0.034887515,1.129908421,1.012116031,0.582069806,1.005860189,0.037810378,0.709905265,0.64349776,0.572279615,0.651978481,0.040312633,1.300925165,1.219353406,0.885092459,1.383813602,0.04229125,0.55147272,0.95469364,0.634609654,0.547036521,0.03203609,0.971376299,0.887032126,0.862394299,0.920563262,0.03092863,0.859912053,1.074999265,1.444125871,0.953722036,0.029714854
0.911115859,1.24724576,1.127589901,1.070522484,0.0120226415,1.244293445,1.102117561,1.114615928,1.221317184,0.036016375,0.588411357,0.711308121,0.972911734,0.723020001,0.031316426,0.942185173,1.100281621,0.766472121,0.952453978,0.02940611,0.951690689,0.830063096,0.943465557,1.001063399,0.031702507,1.330369651,0.916952043,1.392082373,1.197683609,0.024859758,1.278716774,1.176940998,0.829792146,1.304372218,0.035849333,1.290937469,0.983656023,1.063209342,1.179459955,0.03129624,0.649537006,0.818499615,0.530212998,0.737694007,0.03463551,0.741202041,1.104128552,1.230786456,0.749825255,0.03586799,0.734508551,1.045447181,0.89858597,0.711691912,0.0362181,1.001931406,0.849999163,1.190785798,1.275221332,0.03760789,0.930071013,0.681210519,0.708438232,0.751967217,0.03967011,0.986321308,1.183758718,0.618506069,1.110789862,0.042610794,0.977189139,0.918292489,1.021256909,0.917233585,0.029301556,1.318631689,1.244246266,1.476738529,1.355166868,0.030903073,1.067401303,0.804428357,1.390899309,1.120975883,0.027660469
